level_type;price;tag;updated_utc
generated_utc;1782399573.137291;meta;2026-06-25T14:59:33Z
POC;1.14015;London;2026-06-25T14:59:33Z
VAH;1.1416;London;2026-06-25T14:59:33Z
VAL;1.1391;London;2026-06-25T14:59:33Z
HVN;1.1408;London;2026-06-25T14:59:33Z
POC;1.1393;Yesterday;2026-06-25T14:59:33Z
VAH;1.13985;Yesterday;2026-06-25T14:59:33Z
VAL;1.1378;Yesterday;2026-06-25T14:59:33Z
HVN;1.1415;Yesterday;2026-06-25T14:59:33Z
LVN;1.14045;Yesterday;2026-06-25T14:59:33Z
LVN;1.13975;Yesterday;2026-06-25T14:59:33Z
